,n,mu,partition,acc_measure,acc_value
222,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
223,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
224,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.18609283017570913
225,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
226,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.03284597133019365
227,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
228,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
229,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
230,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
231,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
232,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6288504423432328
233,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
234,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.08504044636214116
235,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
236,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
237,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
238,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
239,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
240,10000,0.7,Leiden-MOD,NMI,0.058280266161459496
241,10000,0.7,Leiden-MOD,AMI,0.0
242,10000,0.7,Leiden-MOD,ARI,0.003996828971144756
243,10000,0.7,Leiden-MOD,FPR,0.0
244,10000,0.7,Leiden-MOD,FNR,0.0
245,10000,0.7,Leiden-MOD,Precision,0.0
246,10000,0.7,Leiden-MOD,Recall,0.0
247,10000,0.7,Leiden-MOD,F1-Score,0.0
248,10000,0.7,ECG,NMI,0.1095932817897635
249,10000,0.7,ECG,AMI,0.0
250,10000,0.7,ECG,ARI,0.015712318900332714
251,10000,0.7,ECG,FPR,0.0
252,10000,0.7,ECG,FNR,0.0
253,10000,0.7,ECG,Precision,0.0
254,10000,0.7,ECG,Recall,0.0
255,10000,0.7,ECG,F1-Score,0.0
256,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.0592219732267942
257,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
258,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.007348527684831628
259,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
260,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
261,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
262,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
263,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
264,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.09562018393284154
265,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
266,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.013869023476145853
267,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
268,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
269,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
270,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
271,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
272,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6258072921173393
273,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
274,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.026827950081022164
275,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
276,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
277,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
278,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
279,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
280,10000,0.8,Leiden-MOD,NMI,0.0364139472521099
281,10000,0.8,Leiden-MOD,AMI,0.0
282,10000,0.8,Leiden-MOD,ARI,0.0006337210410045312
283,10000,0.8,Leiden-MOD,FPR,0.0
284,10000,0.8,Leiden-MOD,FNR,0.0
285,10000,0.8,Leiden-MOD,Precision,0.0
286,10000,0.8,Leiden-MOD,Recall,0.0
287,10000,0.8,Leiden-MOD,F1-Score,0.0
288,10000,0.8,ECG,NMI,0.08307918012033177
289,10000,0.8,ECG,AMI,0.0
290,10000,0.8,ECG,ARI,0.001790697583492719
291,10000,0.8,ECG,FPR,0.0
292,10000,0.8,ECG,FNR,0.0
293,10000,0.8,ECG,Precision,0.0
294,10000,0.8,ECG,Recall,0.0
295,10000,0.8,ECG,F1-Score,0.0
296,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.027757760250992886
297,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
298,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.0012742947774249257
299,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
300,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
301,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
302,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
303,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
304,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.08275903360758545
305,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
306,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.0020555179217857417
307,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
308,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
309,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
310,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
311,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
312,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6366019503228674
313,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
314,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.0026128411464482297
315,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
316,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
317,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
318,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
319,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
320,10000,0.9,Leiden-MOD,NMI,0.03102256997091781
321,10000,0.9,Leiden-MOD,AMI,0.0
322,10000,0.9,Leiden-MOD,ARI,0.00023680536908764145
323,10000,0.9,Leiden-MOD,FPR,0.0
324,10000,0.9,Leiden-MOD,FNR,0.0
325,10000,0.9,Leiden-MOD,Precision,0.0
326,10000,0.9,Leiden-MOD,Recall,0.0
327,10000,0.9,Leiden-MOD,F1-Score,0.0
328,10000,0.9,ECG,NMI,0.09489821009769668
329,10000,0.9,ECG,AMI,0.0
330,10000,0.9,ECG,ARI,1.135231940620234e-06
331,10000,0.9,ECG,FPR,0.0
332,10000,0.9,ECG,FNR,0.0
333,10000,0.9,ECG,Precision,0.0
334,10000,0.9,ECG,Recall,0.0
335,10000,0.9,ECG,F1-Score,0.0
336,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.026847144564242212
337,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
338,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.0001520700805762483
339,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
340,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
341,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
342,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
343,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
344,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.08697946553100146
345,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
346,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,-9.767425717197691e-06
347,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
348,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
349,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
350,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
351,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
352,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.6424942034438934
353,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
354,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-1.3559488935036179e-05
355,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
356,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
357,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
358,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
359,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
