,k,n,res,method,partition,acc_measure,acc_value
235,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FPR,5.02E-06
236,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
237,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0.947169017
238,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Recall,1
239,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0.972867798
,100,10,mod,louvain,FastConsensus(Louvain),NMI,1
,100,10,mod,louvain,FastConsensus(Louvain),AMI,1
,100,10,mod,louvain,FastConsensus(Louvain),ARI,1
,100,10,mod,louvain,FastConsensus(Louvain),FPR,0
,100,10,mod,louvain,FastConsensus(Louvain),FNR,0
,100,10,mod,louvain,FastConsensus(Louvain),Precision,1
,100,10,mod,louvain,FastConsensus(Louvain),Recall,1
,100,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,500,10,mod,louvain,FastConsensus(Louvain),NMI,1
,500,10,mod,louvain,FastConsensus(Louvain),AMI,1
,500,10,mod,louvain,FastConsensus(Louvain),ARI,1
,500,10,mod,louvain,FastConsensus(Louvain),FPR,0
,500,10,mod,louvain,FastConsensus(Louvain),FNR,0
,500,10,mod,louvain,FastConsensus(Louvain),Precision,1
,500,10,mod,louvain,FastConsensus(Louvain),Recall,1
,500,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,1000,10,mod,louvain,FastConsensus(Louvain),NMI,1
,1000,10,mod,louvain,FastConsensus(Louvain),AMI,1
,1000,10,mod,louvain,FastConsensus(Louvain),ARI,1
,1000,10,mod,louvain,FastConsensus(Louvain),FPR,0
,1000,10,mod,louvain,FastConsensus(Louvain),FNR,0
,1000,10,mod,louvain,FastConsensus(Louvain),Precision,1
,1000,10,mod,louvain,FastConsensus(Louvain),Recall,1
,1000,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,5000,10,mod,louvain,FastConsensus(Louvain),NMI,1
,5000,10,mod,louvain,FastConsensus(Louvain),AMI,1
,5000,10,mod,louvain,FastConsensus(Louvain),ARI,1
,5000,10,mod,louvain,FastConsensus(Louvain),FPR,0
,5000,10,mod,louvain,FastConsensus(Louvain),FNR,0
,5000,10,mod,louvain,FastConsensus(Louvain),Precision,1
,5000,10,mod,louvain,FastConsensus(Louvain),Recall,1
,5000,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,10000,10,mod,louvain,FastConsensus(Louvain),NMI,1
,10000,10,mod,louvain,FastConsensus(Louvain),AMI,1
,10000,10,mod,louvain,FastConsensus(Louvain),ARI,1
,10000,10,mod,louvain,FastConsensus(Louvain),FPR,0
,10000,10,mod,louvain,FastConsensus(Louvain),FNR,0
,10000,10,mod,louvain,FastConsensus(Louvain),Precision,1
,10000,10,mod,louvain,FastConsensus(Louvain),Recall,1
,10000,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
0,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,1
1,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",AMI,1
2,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,1
3,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FPR,0
4,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FNR,0
5,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Precision,1
6,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Recall,1
7,90,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",F1-Score,1
0,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,1
1,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",AMI,1
2,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,1
3,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FPR,0
4,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FNR,0
5,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Precision,1
6,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Recall,1
7,100,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",F1-Score,1
0,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.98269319
1,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",AMI,
2,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.848743183
3,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FPR,0.000641283
4,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FNR,0
5,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Precision,
6,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Recall,
7,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",F1-Score,0.849056604
0,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.965269994
1,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",AMI,
2,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.702228375
3,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FPR,0.000762763
4,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FNR,0
5,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Precision,
6,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Recall,
7,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",F1-Score,0.702576112
0,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.896253525
1,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",AMI,
2,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.27668169
3,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FPR,0.000940268
4,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FNR,0
5,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Precision,
6,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Recall,
7,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",F1-Score,0.276906037
0,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.872320784
1,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",AMI,
2,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.180096411
3,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FPR,0.000818802
4,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",FNR,0
5,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Precision,
6,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",Recall,
7,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",F1-Score,0.180230695
,100,10,mod,louvain,Louvain,NMI,0.927347361
,100,10,mod,louvain,Louvain,AMI,0.875497283
,100,10,mod,louvain,Louvain,ARI,0.662613982
,100,10,mod,louvain,Louvain,FPR,0.009090909
,100,10,mod,louvain,Louvain,FNR,0
,100,10,mod,louvain,Louvain,Precision,0.5
,100,10,mod,louvain,Louvain,Recall,1
,100,10,mod,louvain,Louvain,F1-Score,0.666666667
,500,10,mod,louvain,Louvain,NMI,0.892566281
,500,10,mod,louvain,Louvain,AMI,0.789531233
,500,10,mod,louvain,Louvain,ARI,0.424911176
,500,10,mod,louvain,Louvain,FPR,0.004849699
,500,10,mod,louvain,Louvain,FNR,0
,500,10,mod,louvain,Louvain,Precision,
,500,10,mod,louvain,Louvain,Recall,
,500,10,mod,louvain,Louvain,F1-Score,0.426540284
