,deg,mu,partition,acc_measure,acc_value
,10,0.5,Leiden-MOD,ARI,0.102222445
,10,0.5,ECG,NMI,0.454352646
,10,0.5,ECG,ARI,0.130864093
,10,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.370353221
,10,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.09265019
,10,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.458027805
,10,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.147654608
,10,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.690288539
,10,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.274949915
,10,0.6,Leiden-MOD,NMI,0.126326446
,10,0.6,Leiden-MOD,ARI,0.021260519
,10,0.6,ECG,NMI,0.200545296
,10,0.6,ECG,ARI,0.035582293
,10,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.143972197
,10,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.026849804
,10,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.18609283
,10,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.032845971
,10,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.628850442
,10,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.085040446
,10,0.7,Leiden-MOD,NMI,0.058280266
,10,0.7,Leiden-MOD,ARI,0.003996829
,10,0.7,ECG,NMI,0.104247611
,10,0.7,ECG,ARI,0.015867649
,10,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.059221973
,10,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.007348528
,10,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.095620184
,10,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.013869023
,10,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.625807292
,10,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.02682795
,10,0.8,Leiden-MOD,NMI,0.036413947
,10,0.8,Leiden-MOD,ARI,0.000633721
,10,0.8,ECG,NMI,0.086639488
,10,0.8,ECG,ARI,0.00177843
,10,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.02775776
,10,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.001274295
,10,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.082759034
,10,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.002055518
,10,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.63660195
,10,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.002612841
,10,0.9,Leiden-MOD,NMI,0.03102257
,10,0.9,Leiden-MOD,ARI,0.000236805
,10,0.9,ECG,NMI,0.098078272
,10,0.9,ECG,ARI,0.000253106
,10,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.026847145
,10,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.00015207
,10,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.086979466
,10,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,-9.77E-06
,10,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.642494203
,10,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-1.36E-05
,10,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.982326935
,10,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.97213017
,10,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.974637443
,10,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.950977661
,10,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.964913815
,10,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.93171975
,10,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.911878847
,10,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.818972068
,10,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.709013829
,10,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.276657635
,10,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.660204014
,10,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.072608709
,10,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.653987649
,10,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.00432422
,10,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.65370898
