,k,n,res,method,partition,acc_measure,acc_value
138,500,10,mod,louvain,FastEnsemble(Louvain),ARI,0.480378429
139,500,10,mod,louvain,FastEnsemble(Louvain),FPR,0
140,500,10,mod,louvain,FastEnsemble(Louvain),FNR,0
141,500,10,mod,louvain,FastEnsemble(Louvain),Precision,0
142,500,10,mod,louvain,FastEnsemble(Louvain),Recall,0
143,500,10,mod,louvain,FastEnsemble(Louvain),F1-Score,0
144,500,10,mod,leiden-mod,ECG,NMI,1
145,500,10,mod,leiden-mod,ECG,AMI,1
146,500,10,mod,leiden-mod,ECG,ARI,1
147,500,10,mod,leiden-mod,ECG,FPR,0
148,500,10,mod,leiden-mod,ECG,FNR,0
149,500,10,mod,leiden-mod,ECG,Precision,0
150,500,10,mod,leiden-mod,ECG,Recall,0
151,500,10,mod,leiden-mod,ECG,F1-Score,0
152,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.918146916
153,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.82841328
154,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.508886833
155,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
156,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
157,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0
158,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Recall,0
159,500,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0
160,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.92586002
161,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.841209601
162,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.537706107
163,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
164,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
165,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0
