net,type,res,acc_value,acc_measure
open_citations,Leiden,0.1,0.903590564,ARI
open_citations,Leiden,0.5,0.012578149,ARI
open_citations,post-CM,mod,0.98925473,ARI
open_citations,post-CM,0.0001,0.014088611,ARI
open_citations,post-CM,0.001,0.441247614,ARI
open_citations,post-CM,0.01,1,ARI
open_citations,post-CM,0.1,0.90343397,ARI
open_citations,post-CM,0.5,0.001081218,ARI
open_citations,FastEnsemble,mod,0.814543736,ARI
open_citations,FastEnsemble,0.0001,0.078553197,ARI
open_citations,FastEnsemble,0.001,0.750163326,ARI
open_citations,FastEnsemble,0.01,1,ARI
open_citations,FastEnsemble,0.1,0.871092369,ARI
open_citations,FastEnsemble,0.5,0.000179254,ARI
open_citations,FastEnsemble(tr=0.9),mod,,ARI
open_citations,FastEnsemble(tr=0.9),0.0001,0.110947994,ARI
open_citations,FastEnsemble(tr=0.9),0.001,0.790767578,ARI
open_citations,FastEnsemble(tr=0.9),0.01,1,ARI
open_citations,FastEnsemble(tr=0.9),0.1,5.55E-05,ARI
open_citations,FastEnsemble(tr=0.9),0.5,5.55E-05,ARI
cit_hepph,Leiden,mod,0.999135227,ARI
cit_hepph,Leiden,0.0001,0.152953361,ARI
cit_hepph,Leiden,0.001,0.998776617,ARI
cit_hepph,Leiden,0.01,0.997669141,ARI
cit_hepph,Leiden,0.1,0.066122862,ARI
cit_hepph,Leiden,0.5,0.004558466,ARI
cit_hepph,post-CM,mod,0.999304372,ARI
cit_hepph,post-CM,0.0001,0.157642217,ARI
cit_hepph,post-CM,0.001,0.999325652,ARI
cit_hepph,post-CM,0.01,0.997669141,ARI
cit_hepph,post-CM,0.1,0.051190369,ARI
cit_hepph,post-CM,0.5,0,ARI
cit_hepph,"SC(n=10,t=0.2)",mod,0.999098804,ARI
cit_hepph,"SC(n=10,t=0.2)",0.0001,0.262653705,ARI
cit_hepph,"SC(n=10,t=0.2)",0.001,0.998679942,ARI
cit_hepph,"SC(n=10,t=0.2)",0.01,0.997686042,ARI
cit_hepph,"SC(n=10,t=0.2)",0.1,0.059406802,ARI
cit_hepph,"SC(n=10,t=0.2)",0.5,0.005262858,ARI
cit_hepph,FastEnsemble,mod,0.999159344,ARI
cit_hepph,FastEnsemble,0.0001,0.710582421,ARI
cit_hepph,FastEnsemble,0.001,0.999397112,ARI
cit_hepph,FastEnsemble,0.01,0.997814418,ARI
cit_hepph,FastEnsemble,0.1,0.003860773,ARI
cit_hepph,FastEnsemble,0.5,0,ARI
cit_hepph,FastEnsemble(tr=0.9),mod,0.999226025,ARI
cit_hepph,FastEnsemble(tr=0.9),0.0001,0.839852566,ARI
cit_hepph,FastEnsemble(tr=0.9),0.001,0.999555193,ARI
cit_hepph,FastEnsemble(tr=0.9),0.01,0.997904437,ARI
cit_hepph,FastEnsemble(tr=0.9),0.1,0.001296946,ARI
cit_hepph,FastEnsemble(tr=0.9),0.5,0,ARI
cit_patents,Leiden,mod,0.137366806,ARI
cit_patents,Leiden,0.0001,0.33460418,ARI
cit_patents,Leiden,0.001,0.546786381,ARI
cit_patents,Leiden,0.01,0.756670719,ARI
cit_patents,Leiden,0.1,0.925186206,ARI
cit_patents,Leiden,0.5,0.113437806,ARI
cit_patents,post-CM,mod,0.988598813,ARI
cit_patents,post-CM,0.0001,0.899675086,ARI
cit_patents,post-CM,0.001,0.953776963,ARI
cit_patents,post-CM,0.01,0.749090793,ARI
cit_patents,post-CM,0.1,0.612853244,ARI
