,n,m,p,method,partition,acc_measure,acc_value
58,2000,29109,0.05,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.997437192
59,2000,29109,0.05,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.989562621
,2000,29109,0.05,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.992407384
60,2000,53917,0.1,Leiden-mod,Leiden-mod,NMI,0.427972958
61,2000,53917,0.1,Leiden-mod,Leiden-mod,ARI,0.083613921
,2000,53917,0.1,Leiden-mod,Leiden-mod,AMI,0.267551608
62,2000,53917,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.944070925
63,2000,53917,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.918695333
,2000,53917,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.860844255
64,2000,53917,0.1,Leiden-mod,ECG,NMI,0.633491556
65,2000,53917,0.1,Leiden-mod,ECG,ARI,0.281908973
,2000,53917,0.1,Leiden-mod,ECG,AMI,0.450224776
66,2000,53917,0.1,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.998330819
67,2000,53917,0.1,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.994729303
,2000,53917,0.1,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.995082161
68,2000,53917,0.1,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.998585471
69,2000,53917,0.1,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.99478393
,2000,53917,0.1,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.995828361
70,2000,4776,0.001,louvain,FastConsensus(Louvain),NMI,0.852820596
71,2000,4776,0.001,louvain,FastConsensus(Louvain),ARI,0.232643777
,2000,4776,0.001,louvain,FastConsensus(Louvain),AMI,0.498379935
72,2000,5244,0.002,louvain,FastConsensus(Louvain),NMI,0.849538001
73,2000,5244,0.002,louvain,FastConsensus(Louvain),ARI,0.229146281
,2000,5244,0.002,louvain,FastConsensus(Louvain),AMI,0.485193287
74,2000,6843,0.005,louvain,FastConsensus(Louvain),NMI,0.852440874
75,2000,6843,0.005,louvain,FastConsensus(Louvain),ARI,0.225102284
,2000,6843,0.005,louvain,FastConsensus(Louvain),AMI,0.502060801
76,2000,9257,0.01,louvain,FastConsensus(Louvain),NMI,0.867988505
77,2000,9257,0.01,louvain,FastConsensus(Louvain),ARI,0.359615178
,2000,9257,0.01,louvain,FastConsensus(Louvain),AMI,0.574354373
78,2000,14371,0.02,louvain,FastConsensus(Louvain),NMI,0.594056026
79,2000,14371,0.02,louvain,FastConsensus(Louvain),ARI,0.179487821
,2000,14371,0.02,louvain,FastConsensus(Louvain),AMI,0.34663739
80,2000,29109,0.05,louvain,FastConsensus(Louvain),NMI,0.654538543
81,2000,29109,0.05,louvain,FastConsensus(Louvain),ARI,0.336280367
,2000,29109,0.05,louvain,FastConsensus(Louvain),AMI,0.432159721
82,2000,53917,0.1,louvain,FastConsensus(Louvain),NMI,0.665544825
83,2000,53917,0.1,louvain,FastConsensus(Louvain),ARI,0.358173819
,2000,53917,0.1,louvain,FastConsensus(Louvain),AMI,0.446091306
84,2000,4776,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.912512954
85,2000,4776,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.887010026
86,2000,5244,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.852908401
87,2000,5244,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.803194173
88,2000,6843,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.539871919
89,2000,6843,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.099038301
90,2000,9257,0.01,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.534451384
91,2000,9257,0.01,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.097370304
92,2000,14371,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.591166445
93,2000,14371,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.196999966
94,2000,29109,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.953413182
95,2000,29109,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.966740155
96,2000,53917,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.995640668
97,2000,53917,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0.994128783
