,k,n,res,method,partition,acc_measure,acc_value
84,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FNR,0.0
85,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Precision,0.0
86,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Recall,0.0
87,500,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",F1-Score,0.0
88,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",NMI,1.0
89,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",AMI,0.0
90,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",ARI,1.0
91,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FPR,0.0
92,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FNR,0.0
93,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Precision,0.0
94,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Recall,0.0
95,500,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",F1-Score,0.0
96,1000,10,0.001,leiden-cpm,Leiden-CPM,NMI,0.878781882152262
97,1000,10,0.001,leiden-cpm,Leiden-CPM,AMI,0.0
98,1000,10,0.001,leiden-cpm,Leiden-CPM,ARI,0.33863423760523853
99,1000,10,0.001,leiden-cpm,Leiden-CPM,FPR,0.0
100,1000,10,0.001,leiden-cpm,Leiden-CPM,FNR,0.0
101,1000,10,0.001,leiden-cpm,Leiden-CPM,Precision,0.0
102,1000,10,0.001,leiden-cpm,Leiden-CPM,Recall,0.0
103,1000,10,0.001,leiden-cpm,Leiden-CPM,F1-Score,0.0
104,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",NMI,0.9199691736664019
105,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",AMI,0.0
106,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",ARI,0.4663108417764178
107,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FPR,0.0
108,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FNR,0.0
109,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Precision,0.0
110,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Recall,0.0
111,1000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",F1-Score,0.0
