,n,mu,partition,acc_measure,acc_value
104,1000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.582385373
105,1000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-8.73E-05
106,1000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.614561873
107,1000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-0.000183731
,10000,0.1,Leiden-MOD,NMI,0.96552566
,10000,0.1,Leiden-MOD,ARI,0.943191485
,10000,0.1,ECG,NMI,0.9981974
,10000,0.1,ECG,ARI,0.998651417
,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.963378346
,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.938699658
,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.968057888
,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.946977803
,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.979811373
,10000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.967975379
,10000,0.2,Leiden-MOD,NMI,0.954801359
,10000,0.2,Leiden-MOD,ARI,0.917865277
,10000,0.2,ECG,NMI,0.996318904
,10000,0.2,ECG,ARI,0.995830116
,10000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.950327414
,10000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.904877482
,10000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.957412728
,10000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.921327242
,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.974356454
,10000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.95244766
,10000,0.3,Leiden-MOD,NMI,0.927645874
,10000,0.3,Leiden-MOD,ARI,0.85608759
,10000,0.3,ECG,NMI,0.971269667
,10000,0.3,ECG,ARI,0.916259992
,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.921006044
,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.827493233
,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.93822863
,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.882209632
,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.959249597
,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.919199629
,10000,0.4,Leiden-MOD,NMI,0.75822746
,10000,0.4,Leiden-MOD,ARI,0.467221959
,10000,0.4,ECG,NMI,0.866035013
,10000,0.4,ECG,ARI,0.739252277
,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.778743182
,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.546566769
,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.853073747
,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.686641832
,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.908704638
,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.815754727
,10000,0.5,Leiden-MOD,NMI,0.356656606
,10000,0.5,Leiden-MOD,ARI,0.102222445
,10000,0.5,ECG,NMI,0.454352646
,10000,0.5,ECG,ARI,0.130864093
,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.370353221
,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.09265019
,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.458027805
,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.147654608
,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.690288539
,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.274949915
,10000,0.6,Leiden-MOD,NMI,0.126326446
,10000,0.6,Leiden-MOD,ARI,0.021260519
,10000,0.6,ECG,NMI,0.200545296
,10000,0.6,ECG,ARI,0.035582293
,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.143972197
,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.026849804
,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.18609283
