,n,m,p,method,partition,acc_measure,acc_value
60,1000,50025,0.1,Leiden-mod,Leiden-mod,NMI,0.438042662
61,1000,50025,0.1,Leiden-mod,Leiden-mod,ARI,0
,1000,50025,0.1,Leiden-mod,Leiden-mod,AMI,4.86E-13
62,1000,50025,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.999397577
63,1000,50025,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0
,1000,50025,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,1.76E-08
64,1000,50025,0.1,Leiden-mod,ECG,NMI,0.454705732
65,1000,50025,0.1,Leiden-mod,ECG,ARI,0
,1000,50025,0.1,Leiden-mod,ECG,AMI,2.14E-13
66,1000,50025,0.1,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,1
67,1000,50025,0.1,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,1
,1000,50025,0.1,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,1
68,1000,50025,0.1,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
69,1000,50025,0.1,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
,1000,50025,0.1,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
70,1000,470,0.001,louvain,FastConsensus(Louvain),NMI,0.942772807
71,1000,470,0.001,louvain,FastConsensus(Louvain),ARI,0
,1000,470,0.001,louvain,FastConsensus(Louvain),AMI,7.86E-11
72,1000,1011,0.002,louvain,FastConsensus(Louvain),NMI,0.933715307
73,1000,1011,0.002,louvain,FastConsensus(Louvain),ARI,0
,1000,1011,0.002,louvain,FastConsensus(Louvain),AMI,4.67E-11
74,1000,2439,0.005,louvain,FastConsensus(Louvain),NMI,0.925878448
75,1000,2439,0.005,louvain,FastConsensus(Louvain),ARI,0
,1000,2439,0.005,louvain,FastConsensus(Louvain),AMI,2.72E-11
76,1000,5113,0.01,louvain,FastConsensus(Louvain),NMI,0.924867946
77,1000,5113,0.01,louvain,FastConsensus(Louvain),ARI,0
,1000,5113,0.01,louvain,FastConsensus(Louvain),AMI,3.20E-11
78,1000,9970,0.02,louvain,FastConsensus(Louvain),NMI,0.531858759
79,1000,9970,0.02,louvain,FastConsensus(Louvain),ARI,0
,1000,9970,0.02,louvain,FastConsensus(Louvain),AMI,1.86E-12
80,1000,25202,0.05,louvain,FastConsensus(Louvain),NMI,0.488875357
81,1000,25202,0.05,louvain,FastConsensus(Louvain),ARI,0
,1000,25202,0.05,louvain,FastConsensus(Louvain),AMI,9.52E-13
82,1000,50025,0.1,louvain,FastConsensus(Louvain),NMI,0.488712985
83,1000,50025,0.1,louvain,FastConsensus(Louvain),ARI,0
,1000,50025,0.1,louvain,FastConsensus(Louvain),AMI,7.21E-13
,1000,470,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.90614518
,1000,470,0.001,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
,1000,1011,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.866873956
,1000,1011,0.002,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
,1000,2439,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.964808881
,1000,2439,0.005,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
,1000,5113,0.01,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.992090907
,1000,5113,0.01,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
,1000,9970,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.996563278
,1000,9970,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
,1000,25202,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.999799273
,1000,25202,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
,1000,50025,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",NMI,0.999799273
,1000,50025,0.1,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.9)",ARI,0
