,n,mu,partition,acc_measure,acc_value
88,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.642494203
89,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-1.36E-05
,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,-0.000330756
,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-score,3.86E-05
90,10000,0.1,FastConsensus(Louvain),NMI,0.884007684
91,10000,0.1,FastConsensus(Louvain),ARI,0.675225712
,10000,0.1,FastConsensus(Louvain),AMI,0.835710404
,10000,0.1,FastConsensus(Louvain),F1-score,0.678645493
92,10000,0.2,FastConsensus(Louvain),NMI,0.901342002
93,10000,0.2,FastConsensus(Louvain),ARI,0.747664439
,10000,0.2,FastConsensus(Louvain),AMI,0.864599021
,10000,0.2,FastConsensus(Louvain),F1-score,0.75061176
94,10000,0.3,FastConsensus(Louvain),NMI,0.788858898
95,10000,0.3,FastConsensus(Louvain),ARI,0.26010921
,10000,0.3,FastConsensus(Louvain),AMI,0.642593007
,10000,0.3,FastConsensus(Louvain),F1-score,0.263163487
96,10000,0.6,FastConsensus(Louvain),NMI,0.293434567
97,10000,0.6,FastConsensus(Louvain),ARI,0.028415373
,10000,0.6,FastConsensus(Louvain),AMI,0.136156232
,10000,0.6,FastConsensus(Louvain),F1-score,0.054385783
98,10000,0.7,FastConsensus(Louvain),NMI,0.469224844
99,10000,0.7,FastConsensus(Louvain),ARI,0.005927911
,10000,0.7,FastConsensus(Louvain),AMI,0.046558293
,10000,0.7,FastConsensus(Louvain),F1-score,0.016127083
100,10000,0.9,FastConsensus(Louvain),NMI,0.507005014
101,10000,0.9,FastConsensus(Louvain),ARI,4.67E-05
,10000,0.9,FastConsensus(Louvain),AMI,8.30E-04
,10000,0.9,FastConsensus(Louvain),F1-score,7.10E-04
,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.982326935
,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.97213017
,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.974637443
,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.950977661
,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.964913815
,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.93171975
,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.911878847
,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.818972068
,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.709013829
,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.276657635
